#E EFF Epot Ekin Eint Eext
3.373367341075505e+00 2.874116311352607e+00 1.257449334495342e+00 2.115918006580163e+00 1.216972529611347e-01 1.135752081534207e+00
3.132019730481300e+00 3.454956112186029e+00 1.273301207557410e+00 1.858718522923890e+00 1.277138415859837e-01 1.145587365971427e+00
3.531278395416757e+00 3.054750604865386e+00 1.276115292419050e+00 2.255163102997707e+00 1.306810001215758e-01 1.145434292297474e+00
2.985426755918121e+00 3.896043980695598e+00 1.275961189164001e+00 1.709465566754119e+00 1.384121325016751e-01 1.137549056662327e+00
3.605442740003359e+00 3.321145247914178e+00 1.247527069005142e+00 2.357915670998217e+00 1.453431232602161e-01 1.102183945744925e+00
3.662312039368415e+00 2.877182747770107e+00 1.246331074736825e+00 2.415980964631590e+00 1.343759781588054e-01 1.111955096578022e+00
3.153400520846302e+00 3.741271247444753e+00 1.259488243809462e+00 1.893912277036840e+00 1.406558650514066e-01 1.118832378758055e+00
3.768231934743975e+00 3.236419834812990e+00 1.238626807221014e+00 2.529605127522961e+00 1.514665662407296e-01 1.087160240980286e+00
3.487556615825604e+00 3.196425602018819e+00 1.237020377514529e+00 2.250536238311074e+00 1.378987347377674e-01 1.099121642776762e+00
3.506687065122961e+00 3.016407832529924e+00 1.295315986664106e+00 2.211371078458854e+00 1.273501455585104e-01 1.167965841105596e+00
3.266780192882068e+00 3.421676212163393e+00 1.292409642893505e+00 1.974370549988563e+00 1.311777188594863e-01 1.161231924034018e+00
3.449186495908170e+00 2.893262544059094e+00 1.275264994779277e+00 2.173921501128893e+00 1.224377107067777e-01 1.152827284072499e+00
3.490568926411015e+00 2.913563740619322e+00 1.243223410673555e+00 2.247345515737460e+00 1.287052951054615e-01 1.114518115568093e+00
3.415510975903506e+00 3.216685423229309e+00 1.272918377054093e+00 2.142592598849413e+00 1.333587294960088e-01 1.139559647558082e+00
3.458178655142809e+00 2.782647538534843e+00 1.276583975742358e+00 2.181594679400451e+00 1.202052665543645e-01 1.156378709187992e+00
2.868122450460711e+00 3.540237996936707e+00 1.356289433341400e+00 1.511833017119310e+00 1.129458980186603e-01 1.243343535322739e+00
3.264013124257215e+00 3.030727411753078e+00 1.332581494510882e+00 1.931431629746333e+00 1.136145034869476e-01 1.218966991023935e+00
3.478097273342017e+00 2.910686613500941e+00 1.282994178323083e+00 2.195103095018935e+00 1.238813952804484e-01 1.159112783042635e+00
